Firm,Weight,OutWeight,InWeight,OutCount,InCount,TotalCount
covington & burling,226.8365678656346,7.498020795654924,219.33854706997968,9,258,267
"gibson, dunn & crutcher",222.0523656109102,48.86509731334652,173.18726829756366,56,204,260
"boies, schiller & flexner",191.88724845228114,60.14227603886861,131.74497241341254,69,155,224
sullivan & cromwell,177.92837644226904,0.8526205369247167,177.07575590534432,1,204,205
united states attorney,177.73734683090728,55.87075320601545,121.86659362489183,65,149,214
susman godfrey,157.82906622376865,145.16029171804033,12.668774505728324,165,14,179
grant & eisenhofer,142.3888326268234,142.3888326268234,0.0,172,0,172
sidley austin,141.96868579152047,8.346451983335465,133.622233808185,10,154,164
simpson thacher & bartlett,135.72773354182857,6.391386559378374,129.3363469824502,8,148,156
robbins geller rudman & dowd,124.7444853416691,124.7444853416691,0.0,146,0,146
hagens berman sobol shapiro,118.89188179703412,118.89188179703412,0.0,141,0,141
glancy binkow & goldberg,118.53529772071288,118.53529772071288,0.0,132,0,132
davis polk & wardwell,112.2495010016074,0.9350557312469616,111.31444527036044,1,128,129
attorney general,110.96839715803655,37.79421891793119,73.17417824010536,45,93,138
wilmer cutler pickering hale & dor,98.99993862547748,57.23630078596816,41.76363783950932,69,49,118
kirkland & ellis,98.42547356377057,13.345944153906178,85.07952940986439,17,104,121
hughes hubbard & reed,96.53418889301807,1.92214660032536,94.6120422926927,2,110,112
hausfeld,94.4891085844966,94.4891085844966,0.0,107,0,107
mcdermott will & emery,92.66685368485912,7.779468953331205,84.88738473152792,11,97,108
quinn emanuel urquhart & sullivan,90.00282551001278,7.890925901384675,82.11189960862811,9,94,103
berger & montague,89.80592585345867,89.80592585345867,0.0,109,0,109
"morgan, lewis & bockius",87.51668634593358,38.49411011055298,49.02257623538059,45,58,103
cotchett pitre & mccarthy,86.17936970178633,86.17936970178633,0.0,98,0,98
morrison & foerster,85.10444743184807,50.639703823807096,34.464743608040976,58,40,98
"robins, kaplan, miller & ciresi",84.6352594936217,83.77360479145973,0.8616547021619643,96,1,97
mayer brown,83.44307575692629,5.419731059717163,78.02334469720913,8,89,97
