CaseId,PlaintiffFirm,DefendantFirm,CaseType,Court,Outcome,Weight,PredDefWinProba,Year
3594648,quinn emanuel urquhart & sullivan,covington & burling,contract,,PlaintiffWin,0.7540355938742661,0.7540355938742661,2013
3594648,quinn emanuel urquhart & sullivan,covington & burling,contract,,PlaintiffWin,0.7540355938742661,0.7540355938742661,2013
3594648,quinn emanuel urquhart & sullivan,mayer brown,contract,,PlaintiffWin,0.7540355938742661,0.7540355938742661,2013
3594648,dla piper,covington & burling,contract,,PlaintiffWin,0.7540355938742661,0.7540355938742661,2013
3594648,dla piper,covington & burling,contract,,PlaintiffWin,0.7540355938742661,0.7540355938742661,2013
3594648,dla piper,mayer brown,contract,,PlaintiffWin,0.7540355938742661,0.7540355938742661,2013
3823183,mcdermott will & emery,goodwin procter,other,,PlaintiffWin,0.768148247798089,0.768148247798089,2013
3823183,mcdermott will & emery,goodwin procter,other,,PlaintiffWin,0.768148247798089,0.768148247798089,2013
3823260,susman godfrey,foley & lardner,other,,PlaintiffWin,0.9427123510905988,0.9427123510905988,2013
3823260,susman godfrey,arnold & porter,other,,PlaintiffWin,0.9427123510905988,0.9427123510905988,2013
3828669,robbins geller rudman & dowd,latham & watkins,other,,PlaintiffWin,0.8923366058896484,0.8923366058896484,2013
3828669,robbins geller rudman & dowd,"gibson, dunn & crutcher",other,,PlaintiffWin,0.8923366058896484,0.8923366058896484,2013
3828669,hagens berman sobol shapiro,latham & watkins,other,,PlaintiffWin,0.8923366058896484,0.8923366058896484,2013
3828669,hagens berman sobol shapiro,"gibson, dunn & crutcher",other,,PlaintiffWin,0.8923366058896484,0.8923366058896484,2013
3828669,hagens berman sobol shapiro,latham & watkins,other,,PlaintiffWin,0.8923366058896484,0.8923366058896484,2013
3828669,hagens berman sobol shapiro,"gibson, dunn & crutcher",other,,PlaintiffWin,0.8923366058896484,0.8923366058896484,2013
3832070,foley & lardner,united states attorney,contract,,PlaintiffWin,0.673478573177958,0.673478573177958,2013
3834311,glancy binkow & goldberg,dla piper,torts,,PlaintiffWin,0.7404240064471646,0.7404240064471646,2013
3877383,berger & montague,arnold & porter,other,,PlaintiffWin,0.5874410545171874,0.5874410545171874,2013
3877383,berger & montague,locke lord bissell & liddell,other,,PlaintiffWin,0.5874410545171874,0.5874410545171874,2013
3877383,lieff cabraser heimann & bernstein,arnold & porter,other,,PlaintiffWin,0.5874410545171874,0.5874410545171874,2013
3877383,lieff cabraser heimann & bernstein,locke lord bissell & liddell,other,,PlaintiffWin,0.5874410545171874,0.5874410545171874,2013
3877383,lieff cabraser heimann & bernstein,arnold & porter,other,,PlaintiffWin,0.5874410545171874,0.5874410545171874,2013
3877383,lieff cabraser heimann & bernstein,locke lord bissell & liddell,other,,PlaintiffWin,0.5874410545171874,0.5874410545171874,2013
